tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	fen	tag
27718	869.0	43.16	56207.0	16.0	1.0	https://lichess.org/analysis/5rk1/2p3pp/1p3p2/4n3/5B2/r1P3P1/PRP2K1P/3R4_w_-_-	Fork / Double Attack
55150	1140.0	45.2	64809.0	51.0	1.0	https://lichess.org/analysis/5b2/2B1pkp1/5n2/2N5/3P4/2P2brP/P1P5/R5K1_w_-_-	Defense
962	890.0	43.63	59019.0	28.0	2.0	https://lichess.org/analysis/4q3/p2n2kp/1p1PQB2/5pp1/8/8/P4PPK/8_b_-_-_1_1	Pawn Promotion
36467	1028.0	45.97	64856.0	43.0	1.0	https://lichess.org/analysis/R7/1r3ppk/4p1qp/3pP3/1P2rPP1/7P/1P1Q3K/2R5_b_-_-	Back Rank
27327	1167.0	45.9	64826.0	40.0	1.0	https://lichess.org/analysis/r4rk1/1p3pbp/1qnp4/p1p2p2/8/2NPB1PP/PPP3B1/1R1Q2K1_w_-_-	Pin
39672	1116.0	46.37	64536.0	78.0	2.0	https://lichess.org/analysis/r5k1/q3b1p1/p3P1bp/2NQ1p2/1P2p2P/4B3/P5P1/3R2K1_b_-_h3	Queen Sacrifice
28573	1423.0	45.95	66881.0	37.0	1.0	https://lichess.org/analysis/r1b1k2N/ppp3pp/8/3Pp3/3n4/2NPn3/PPP1Bq1P/R1QK3R_w_q_-	Pin
42171	1069.0	45.88	64048.0	30.0	1.0	https://lichess.org/analysis/4r2k/p1r3b1/3p2pp/3Pq3/3N2PP/2P5/1P4Q1/2K2R1R_w_-_-	Hanging Piece
36839	724.0	43.86	55884.0	32.0	1.0	https://lichess.org/analysis/6k1/1p3ppp/2p5/8/pbPr1P2/3Q4/PPKB1qPP/3R4_w_-_-	Hanging Piece
27954	1211.0	45.83	63708.0	44.0	1.0	https://lichess.org/analysis/1r3rk1/Rpnq1ppp/1Q1p4/2pP4/2P5/1P3N1P/1P3PP1/4R1K1_b_-_-	Hanging Piece
90217	805.0	44.23	60940.0	30.0	1.0	https://lichess.org/analysis/2r1kb1r/p3pppp/npbp1q2/1N3n2/B2p1N2/4BQ2/PPP2PPP/2KRR3_w_k_-	Hanging Piece
42505	1016.0	44.19	57886.0	21.0	1.0	https://lichess.org/analysis/8/8/1k6/1P2ppp1/2K5/5P2/8/8_w_-_-	Pawn Promotion
31310	828.0	43.4	61336.0	29.0	1.0	https://lichess.org/analysis/4Rrrk/6pp/7P/p7/3PQB2/3N1P2/1Pp2K1P/3q4_b_-_-	Mate in 3+
27242	1144.0	46.72	61408.0	42.0	1.0	https://lichess.org/analysis/8/pp1kbpRp/3p1p2/8/5P2/4BK1P/q7/3R4_w_-_-	Fork / Double Attack
