tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	fen	count	Duplicate with	FULL	tags	Problem ID	Cluster
43287	909.0	44.58	57600.0	41.0	1.0	https://lichess.org/analysis/r1b2Rnq/1p1kn3/p2p4/2P1p3/1PQpP1p1/3Bb1P1/P5PP/5R1K_w_-_-	5462		 26. c6+ bxc6	Defense	43287.0	7.0
33334	1063.0	45.17	64887.0	36.0	1.0	https://lichess.org/analysis/8/2R1pk1p/3p1pp1/3P3n/1P1QP1P1/2B4P/r3qP2/6K1_b_-_g3	5458		 35. ... Rc2 36. gxh5	Hanging Piece	33334.0	7.0
26775	943.0	45.05	61665.0	23.0	2.0	https://lichess.org/analysis/3r3r/pp2kpp1/2p3p1/8/3PP3/8/PP1KB1Rn/R7_w_-_-	5457		 24. Rh1 Nf3+ 25. Bxf3 Rxh1	Sacrifice	26775.0	7.0
29416	1174.0	45.26	64475.0	52.0	1.0	https://lichess.org/analysis/2rr3k/pb3pq1/1p2p2p/3PR2P/2P5/3BQ3/P5P1/5RK1_b_-_-_0_1	5452		 1. ... b5 2. Rxf7	Attacking Castled King	29416.0	7.0
41823	1239.0	45.76	64876.0	22.0	1.0	https://lichess.org/analysis/4k2r/pp2nppp/4p3/Pb1pP1B1/3r4/5N2/4KPPP/R3R3_w_k_-	5449		 20. Ke3 Nf5#	Mate in 1	41823.0	7.0
29852	1088.0	46.03	64063.0	46.0	1.0	https://lichess.org/analysis/r2q2k1/1b2prb1/p2p2pp/8/1p1Pn2N/1P1Q2BP/NP3PP1/R3R1K1_b_-_-	5444		 21. ... Qb6 22. Rxe4	Exchange Sacrifice	29852.0	7.0
36371	1187.0	45.97	65382.0	28.0	1.0	https://lichess.org/analysis/rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2p2N2/PP3PPP/RNBQK2R_w_KQkq_-	5440		 6. Qb3 cxb2+	Discovered Attack	36371.0	7.0
30501	1012.0	45.68	64921.0	35.0	1.0	https://lichess.org/analysis/r2qkb1Q/p2p1p1p/bp2p3/2PpP3/3P4/3n1N2/PP3PPP/R1BK3R_b_q_-	5428		 15. ... bxc5 16. Bh6	Pin	30501.0	7.0
44843	1092.0	44.54	61944.0	32.0	1.0	https://lichess.org/analysis/r5k1/pp3pp1/4r1q1/1P2n2p/2PRb2N/P3P3/3QBPPP/R6K_b_-_-	5424		 23. ... Qg5 24. Rxe4	Hanging Piece	44843.0	15.0
36616	1131.0	46.27	65197.0	40.0	1.0	https://lichess.org/analysis/4r2k/2q3pp/p4r2/3R4/Np2n1Q1/8/PPP3PP/2K1R3_b_-_-	5422		 23. ... Rc8 24. Qxe4	Hanging Piece	36616.0	7.0
41291	903.0	44.68	63365.0	25.0	1.0	https://lichess.org/analysis/k2rbr2/p3q1b1/B1N3p1/3p3p/N7/1R2QP2/PPP5/1K5R_b_-_-	5419		 39. ... Qxe3 40. Bb7#	Mate in 1	41291.0	7.0
44304	978.0	44.54	60028.0	32.0	1.0	https://lichess.org/analysis/r1bqk2r/p1ppbppp/1p6/6B1/2Pnn3/P1N5/1P2PPPP/R2QKB1R_w_KQkq_-	5417		 10. Qxd4 Nxg5	Hanging Piece	44304.0	15.0
28183	923.0	44.97	59009.0	41.0	1.0	https://lichess.org/analysis/8/6k1/p2P1p2/2P5/5pq1/7p/PP3Q1K/8_b_-_-	5416		 57. ... Kf7 58. c6	Pawn Promotion	28183.0	7.0
33723	1204.0	46.21	63181.0	50.0	1.0	https://lichess.org/analysis/7r/3k1p2/pr1p3p/2pP2p1/5P2/2P1q1P1/2Q3P1/2KR1R2_w_-_-	5413		 26. Rd2 Rhb8	Back Rank	33723.0	7.0
28307	671.0	43.56	54251.0	33.0	1.0	https://lichess.org/analysis/r1bqkb1r/pp2nppp/8/1Np1n3/8/1B2B3/PPP2PPP/RN1Q1RK1_b_kq_-	5410		 10. ... Bd7 11. Nd6#	Smothered Mate	28307.0	15.0
33973	743.0	43.54	58529.0	21.0	1.0	https://lichess.org/analysis/1r2r1k1/R1nq1pbp/3p1np1/1p1P4/2p1PP2/2N2B1P/1PQ3P1/2B2RK1_b_-_-	5406		 21. ... Nfxd5 22. Nxd5	Pin	33973.0	15.0
39775	1082.0	45.5	64345.0	43.0	1.0	https://lichess.org/analysis/r4k1r/1b3Bbp/p3np2/q2N4/1p6/2N5/PP3PPP/R2QR1K1_b_-_-	5406		 18. ... bxc3 19. Bxe6	Hanging Piece	39775.0	7.0
